Country,Knot_date_1,Knot_date_2,N_knots,Growth_factor_1,Growth_factor_2,Growth_factor_3,Growth_factor_1_sd,Growth_factor_2_sd,Growth_factor_3_sd,Intercept_1,Intercept_2,Intercept_3,Pois_dev_inc,Pois_dev_cum,BIC,Prob_unequal,N_unequal
Moldova,2020-03-16,2020-03-29,2,1.2004835418884203,1.2795342384523094,1.0187521710483871,1.2432023913661858,0.16410409244794336,0.003429817248927028,0,-1.8181660209694464,58.42249154933659,488.36499008407225,5766.091075582711,1010.3545599466518,0.05862553456808403,2
Moldova,2020-03-17,2020-04-06,2,1.5171853555203672,1.0865333444482899,1.0172148396313343,1.0146267736323509,0.03671571770934206,0.003770058010911428,0,9.90499625465778,69.79618441650737,430.08869227118333,2187.148146940028,1009.7423578739163,0.15455751003755128,4
Moldova,2020-03-21,2020-03-28,2,1.2187539991934637,1.343244922815055,1.0190480247593343,0.5125758991763094,0.283106967134123,0.003455299354869546,0,-8.216400959025021,56.298781754063405,546.6132732490491,7763.801184285121,1010.7737663492458,0.04354054974495348,1
Moldova,2020-03-22,2020-03-27,2,1.2340356501613585,1.4094158380114739,1.0192364459112202,0.4414397131679555,0.39468436898686754,0.003465535253878998,0,-14.030415028009234,55.03133737373569,543.3535500450014,5367.278385489395,1010.9432402055104,0.06298167290673747,2
Moldova,2020-03-30,NA,1,1.2495529483464958,1.0184617032597043,NA,0.12100763032813071,0.0034144582253597027,NA,-0.288725685339513,60.488271772486684,NA,524.0551803729071,2635.415513914088,1009.9835913565053,0.12826826353930115,3
Moldova,2020-03-31,NA,1,1.2347518288259787,1.0181111690229319,NA,0.10480989583442633,0.003401085849468512,NA,-1.5904656590636488,62.9684509622443,NA,421.4965039818465,3243.5017425838832,1009.5147547953827,0.1042207461263766,3
Netherlands,2020-03-20,2020-04-06,2,1.249670809282674,1.0404965048705286,0.9625022959275462,0.04379017660947978,0.009700551571666115,0.004544313681561916,0,514.5687888538777,1906.8434126950579,1425.132458976487,1519.9577774818104,1226.6556149895482,0.41434874004523964,17
Netherlands,2020-03-20,2020-04-07,2,1.2554260924392704,1.0369685284632926,0.9611588677557907,0.040760270717518976,0.008649710817732444,0.004420670181478641,0,537.4056073809056,1962.8546576640633,1634.3130136306452,13340.24726803421,1226.8894815754868,0.047209963756118266,2
Netherlands,2020-03-20,2020-04-08,2,1.2549822130224078,1.0358109585756627,0.9594281921859279,0.03916114262747166,0.007941205023685113,0.004307445826816002,0,539.1612859389924,2034.735851850002,1588.630678434906,14564.072409001425,1224.543009888978,0.04324289061020482,2
Netherlands,2020-03-21,2020-04-07,2,1.236888480837378,1.0321344969244266,0.9618270894812383,0.033053340103557136,0.008827068218574936,0.0043425247158515095,0,613.033427835376,1935.0236099896447,1558.3828460393268,21297.16593999632,1223.4867576089505,0.029571661872568364,1
Netherlands,2020-03-21,2020-04-08,2,1.23562095091977,1.0313647629097646,0.9600880376144773,0.03138636708142303,0.007997974698625353,0.004199016219036656,0,611.5430269019556,2007.1413081836854,1531.4823235643205,24459.96153711263,1221.0188327152748,0.025747897807033696,1
Netherlands,2020-03-21,2020-04-09,2,1.2353359749504487,1.0300311258100396,0.9579672647099189,0.029485699333547163,0.0071536932397010915,0.004068867043033614,0,614.6827183263845,2095.5230000727665,1521.0755091894603,25334.83329877244,1218.2822316134616,0.024858761950174998,1
Netherlands,2020-03-21,2020-04-10,2,1.2367077375013138,1.0278183787834865,0.9555016678138997,0.027737150223209744,0.006361696212052049,0.004015231319639935,0,625.4147400011743,2199.1710041213246,1488.8472499234715,20957.416853745995,1215.580243475162,0.03005105993818984,1
Netherlands,2020-03-21,2020-04-11,2,1.2400969972418676,1.0248844768203575,0.9530324460150961,0.026494611443222453,0.005735177509444114,0.004077954758545154,0,644.3462861420006,2303.912641651127,1393.440937037314,10130.207371786055,1213.9127106304063,0.062169762859505234,3
Netherlands,2020-03-21,2020-04-12,2,1.2479574576863306,1.0209139735316721,0.9512234077849209,0.024883194638355477,0.005131291113111467,0.0041298514769758715,0,679.7681915590473,2381.1239731344876,1306.7171472054567,2326.6694650335444,1216.189021757339,0.2706841687168791,11
Netherlands,2020-03-21,2020-04-13,2,1.252197895822406,1.0181179286047528,0.9495022394093013,0.025707700628281354,0.005029871657137193,0.004534212634709853,0,700.835421849654,2456.505061293669,1541.4206793337837,12084.648812572892,1217.16524189339,0.052115092444086034,2
Norway,2020-03-11,2020-03-20,2,1.3291651044720432,1.097348012664208,0.9647662622316053,0.11439610327715329,0.04449190067253885,0.005599309835642416,0,92.72683672313411,324.214572978458,560.850836661469,2339.1561672704665,885.1788050224509,0.1595927587130449,18
Norway,2020-03-11,2020-03-21,2,1.3083778337749155,1.0968296184292328,0.9622352302368992,0.09844228393158774,0.03450677644330155,0.005174260998601576,0,84.61928613827314,342.2329451383995,645.7587387030019,14419.72319050206,882.7811478653376,0.02588901193618049,3
Norway,2020-03-11,2020-03-24,2,1.295118405213172,1.0749315504717458,0.9531445995653502,0.055800737168375886,0.014242988672044994,0.003884304744250519,0,88.07474189657043,407.2783402222333,985.2154132702614,41388.85147725532,871.7164657581172,0.009019636266072162,1
Norway,2020-03-11,2020-03-25,2,1.3025948716236386,1.0666307823842653,0.9503745162034727,0.046818008357601894,0.010986374519077571,0.0035592723725497506,0,94.38563569574936,427.22732577135855,819.3892062744565,33961.206810255884,867.4359232688478,0.010992318025712518,1
Norway,2020-03-11,2020-03-26,2,1.3101406947885041,1.0599773315211922,0.9477483858180131,0.040756465837521835,0.008927728982229655,0.003352888064080443,0,100.06534530692485,446.1794138555289,645.194162732941,25580.85763711809,862.5247470813689,0.014593427284222336,2
Norway,2020-03-11,2020-03-27,2,1.3253502271699924,1.051140955949675,0.9447138899526324,0.03670083766109941,0.007411337966245447,0.0033443935089716185,0,109.68370848812694,468.23649383216355,411.0342257675961,13155.185597118514,858.6565024262258,0.02837758411231356,3
Norway,2020-03-11,2020-03-28,2,1.3546894008777381,1.0385819997324333,0.9417787656012941,0.036307183873582956,0.0065894007311265365,0.003766073717364115,0,126.44296045812187,489.9391046205494,178.42357343202886,657.7539216916326,861.7997143883066,0.5675563056092918,63
Norway,2020-03-11,2020-03-29,2,1.3741941542694909,1.0311220343458598,0.9400524308913037,0.03821170789638897,0.0064698143359272,0.004308583684200344,0,137.2288479694524,502.8733058394954,212.30405763855666,2525.859052283544,865.0732380128302,0.14779620638682406,16
Norway,2020-03-11,2020-03-30,2,1.3944040652395013,1.0240859342364954,0.9384785013460304,0.04111004071246447,0.006497736577742295,0.005053052109424878,0,148.12725240120233,514.8694949039545,477.9026950436133,15900.14576622306,869.024581112515,0.02347855115821391,3
Norway,2020-03-11,2020-03-31,2,1.404339876077212,1.0206629458553185,0.9372298537882668,0.04288075752077565,0.0065174027192244615,0.005556761380554013,0,153.4707720887574,524.3308663268018,763.805290886484,29384.95701139117,870.3629651112792,0.012704200508124304,1
Poland,2020-03-14,2020-04-03,2,1.6346114974785952,1.117089381174241,0.9942910605163374,0.23534906931218386,0.008713949128926594,0.0023460515667318876,0,35.19150390869609,396.95535656688,59.82363851406551,65.27509353454258,641.3477871647807,0.22384853529421117,16
Poland,2020-03-20,2020-04-03,2,1.2467708549647918,1.1119266418992704,0.9946041831302201,0.05296385263794218,0.010585516798995193,0.002366034765786353,0,47.86969563826012,393.50165917188195,90.21507819467358,811.4921777393808,641.2451755261833,0.01800600730324316,1
Poland,2020-03-21,2020-04-02,2,1.2106970528303223,1.1298215852706663,0.9962468458759351,0.05285503103616548,0.014801982147329662,0.0025178766900026206,0,34.37207371285372,375.5219581269974,85.77830970077177,255.98608489209224,643.8691827771223,0.057080188890186685,4
